MAG	AHKs	AI	AI_2	DSF	HSLs	PQS	Unclassified	cdiGMP
MAG001	0	3	1	2	7	0	1	10
MAG002	0	24	14	6	16	2	4	18
MAG003	0	1	0	3	2	0	1	2
MAG004	1	6	3	3	8	0	0	8
MAG005	0	3	14	6	9	0	2	37
MAG006	0	2	7	3	6	0	1	28
MAG007	0	6	7	3	6	0	3	32
MAG008	0	0	1	5	2	0	0	28
MAG009	0	3	2	0	3	0	0	1
MAG010	0	2	1	13	8	0	1	17
MAG011	0	0	4	0	1	0	1	7
MAG012	0	6	0	3	8	1	1	5
MAG013	0	5	1	4	6	0	0	4
MAG014	0	6	1	5	14	0	0	7
MAG015	0	0	1	4	2	0	0	19
MAG016	0	5	4	3	2	0	2	6
MAG017	0	5	3	2	5	0	0	11
MAG018	0	5	5	6	12	1	1	6
MAG019	0	3	1	1	5	0	0	1
MAG020	0	3	4	8	9	0	3	4
MAG021	0	5	1	5	10	2	0	6
MAG022	0	10	9	2	8	0	1	18
MAG023	0	4	0	1	10	0	2	3
MAG024	0	0	0	0	1	0	1	1
MAG025	0	11	5	8	12	0	1	8
MAG026	0	3	2	5	2	0	2	7
MAG027	0	4	2	6	3	0	3	4
MAG028	0	4	1	2	5	0	2	8
MAG029	0	1	0	0	9	0	2	1
MAG030	0	4	0	1	10	0	1	4
MAG031	0	3	1	8	5	0	1	11
MAG032	0	8	5	15	29	0	2	23
MAG033	0	13	1	12	32	0	0	24
MAG034	0	7	9	4	9	0	3	35
MAG035	0	2	4	3	5	0	0	5
MAG036	0	1	0	2	7	0	1	2
MAG037	3	12	15	19	30	1	2	20
MAG038	0	8	19	8	6	0	5	43
MAG039	0	1	1	2	7	0	0	27
MAG040	0	6	0	3	8	0	1	3
MAG041	0	4	3	12	15	1	0	23
MAG042	0	9	17	10	16	1	6	17
MAG043	0	11	11	18	15	2	1	20
MAG044	0	1	6	2	4	1	0	5
MAG045	0	2	2	12	31	0	0	21
MAG046	0	9	19	7	17	1	7	16
MAG047	0	3	3	2	8	0	2	20
MAG048	0	2	2	0	5	0	0	6
MAG049	0	2	1	1	4	0	0	6
MAG050	0	2	1	0	3	0	0	5
MAG051	0	1	15	5	8	0	1	37
MAG052	0	1	2	1	6	0	0	9
MAG053	0	0	0	1	2	0	0	3
MAG054	0	4	3	1	5	0	3	15
MAG055	0	7	2	7	23	0	0	6
MAG056	0	1	3	2	3	0	1	5
MAG057	0	2	0	1	9	0	1	3
MAG058	0	0	0	1	6	0	1	3
MAG059	0	0	0	2	3	0	1	2
MAG060	0	1	2	9	3	1	0	4
MAG061	0	4	9	0	7	0	1	18
MAG062	0	2	4	2	4	0	2	7
MAG063	0	2	7	3	11	0	2	12
MAG064	0	0	0	1	1	0	0	1
MAG065	0	4	0	2	4	0	0	6
MAG066	0	1	3	4	1	0	2	4
MAG067	0	7	2	11	23	1	2	15
MAG068	0	3	1	1	3	0	0	26
MAG069	0	2	3	4	8	1	0	26
MAG070	0	1	1	1	9	0	1	6
MAG071	0	0	2	2	9	0	0	29
MAG072	0	1	3	4	16	0	1	25
MAG073	0	6	7	3	14	0	2	9
MAG074	0	1	0	1	8	0	1	2
MAG075	0	6	4	4	15	0	5	35
MAG076	0	3	1	6	15	0	2	37
MAG077	0	3	2	7	11	1	0	11
MAG078	0	2	1	10	8	0	1	21
MAG079	0	11	4	9	35	0	2	18
MAG080	0	1	9	3	17	0	0	4
MAG081	0	5	14	4	4	0	2	37
MAG082	0	1	6	14	11	1	0	20
MAG083	0	1	11	3	7	0	1	17
MAG084	0	1	0	1	8	0	1	0
MAG085	0	1	1	3	9	1	0	25
MAG086	0	7	3	4	16	0	2	36
MAG087	0	3	7	2	10	0	1	35
MAG088	0	6	4	8	7	0	1	10
MAG089	0	3	3	2	12	0	1	30
MAG090	0	2	0	3	3	0	0	6
MAG091	0	3	15	14	14	0	2	27
MAG092	0	4	17	5	5	0	5	36
MAG093	0	1	0	1	5	0	1	1
MAG094	0	2	0	3	4	0	1	7
MAG095	0	9	3	11	9	0	0	15
MAG096	0	2	5	3	2	0	1	5
MAG097	0	2	7	4	4	0	1	31
MAG098	0	5	10	5	8	0	0	30
MAG099	0	4	7	5	6	0	0	28
MAG100	0	2	4	3	8	0	1	30
MAG101	0	15	11	5	12	1	1	25
MAG102	0	2	4	3	12	0	4	39
MAG103	0	3	1	1	3	0	0	28
MAG104	0	3	10	3	10	0	1	47
MAG105	0	5	3	8	12	0	3	7
MAG106	0	6	8	14	9	1	4	10
MAG107	0	1	1	2	12	0	3	6
MAG108	0	3	5	4	2	0	0	12
MAG109	0	28	10	6	18	1	1	36
MAG110	0	4	15	1	5	0	2	33
MAG111	0	5	12	4	7	0	4	13
MAG112	0	0	0	3	3	0	1	1
MAG113	0	2	0	2	8	0	1	2
MAG114	0	2	39	16	13	0	4	45
MAG115	0	0	5	2	3	0	0	8
MAG116	0	15	10	8	17	1	0	28
MAG117	0	2	2	2	3	0	0	9
MAG118	0	0	1	2	5	0	0	16
MAG119	0	3	3	9	7	0	0	10
MAG120	2	3	1	7	12	0	2	8
MAG121	0	8	0	15	35	1	4	25
MAG122	0	3	0	2	0	0	0	0
MAG123	0	4	6	5	6	1	3	37
MAG124	0	2	19	2	12	0	0	21
MAG125	0	1	0	1	6	0	2	2
MAG126	0	3	3	1	2	0	1	8
MAG127	0	0	1	7	6	0	1	13
MAG128	0	2	0	1	9	0	1	6
MAG129	0	2	0	1	6	0	1	4
MAG130	0	3	1	0	4	0	0	6
MAG131	0	2	2	4	8	0	2	14
MAG132	0	1	0	1	7	0	1	1
MAG133	0	2	4	3	2	0	1	18
MAG134	0	2	4	4	8	0	0	8
MAG135	0	11	19	11	20	1	7	27
MAG136	0	0	1	3	4	1	2	10
MAG137	0	2	2	3	8	0	1	15
MAG138	0	0	2	2	13	0	0	5
MAG139	0	6	14	5	15	0	0	21
MAG140	0	2	2	3	3	0	0	13
MAG141	0	6	4	11	14	1	3	18
MAG142	0	1	0	3	1	1	2	10
MAG143	0	5	3	13	20	0	1	20
MAG144	0	4	5	1	5	0	0	14
MAG145	0	2	2	0	0	0	0	4
MAG146	0	0	0	2	3	0	2	5
MAG147	0	2	4	8	4	0	1	20
MAG148	0	2	0	2	10	0	2	3
MAG149	0	3	2	3	1	0	2	3
MAG150	0	6	20	4	9	0	3	61
MAG151	0	3	2	7	6	0	0	12
MAG152	0	4	1	3	11	0	1	8
MAG153	0	14	9	7	10	0	1	14
MAG154	0	2	0	1	6	0	2	6
MAG155	0	2	2	6	3	0	2	15
MAG156	0	2	0	1	7	0	1	1
MAG157	0	4	4	25	16	1	1	28
MAG158	0	9	6	16	13	0	3	16
MAG159	0	15	14	13	36	0	1	24
MAG160	0	4	3	7	6	0	2	10
MAG161	0	2	1	5	6	0	0	13
MAG162	0	4	1	2	4	0	1	17
MAG163	0	1	4	8	11	0	1	16
MAG164	0	5	8	1	7	0	0	6
MAG165	0	4	29	15	9	0	3	71
MAG166	0	5	2	18	6	0	2	9
MAG167	0	3	24	6	13	0	4	47
MAG168	0	4	4	8	7	1	2	45
MAG169	0	2	11	2	4	0	1	23
MAG170	0	6	13	6	21	0	0	38
MAG171	0	0	0	2	6	0	1	3
MAG172	0	2	4	2	7	0	1	33
MAG173	0	2	2	3	11	0	2	6
MAG174	0	1	1	0	0	0	1	2
MAG175	0	3	14	8	4	0	1	47
MAG176	1	3	17	6	16	0	2	63
MAG177	0	0	1	0	0	0	1	1
MAG178	0	18	7	8	9	1	3	18
MAG179	0	2	1	2	10	0	2	3
MAG180	0	2	1	1	5	0	0	3
MAG181	0	4	27	13	12	0	8	54
MAG182	0	3	12	4	6	0	2	40
MAG183	0	0	0	0	0	0	0	1
MAG184	0	0	0	1	2	0	1	3
MAG185	0	3	5	2	9	0	1	30
MAG186	0	2	5	5	8	0	1	24
MAG187	0	3	6	3	6	0	3	31
MAG188	1	8	2	12	26	0	5	20
MAG189	0	3	8	3	6	0	2	18
MAG190	0	0	0	0	0	0	0	3
MAG191	0	2	6	4	9	0	2	9
MAG192	0	6	0	5	18	1	0	4
MAG193	0	0	0	0	0	0	0	1
MAG194	0	6	9	1	6	2	1	11
MAG195	0	3	3	7	8	0	0	9
MAG196	0	4	15	11	10	0	3	18
MAG197	0	5	4	4	9	2	0	9
MAG198	0	1	1	2	0	0	2	10
MAG199	0	1	0	2	11	0	2	3
MAG200	0	18	16	11	24	0	4	59
MAG201	0	2	24	8	0	0	2	40
MAG202	0	0	1	3	8	0	0	6
MAG203	0	2	0	0	6	0	0	3
MAG204	0	4	12	3	0	0	1	21
MAG205	0	0	0	0	0	0	0	1
MAG206	0	0	1	1	1	0	0	1
MAG207	0	4	3	1	0	0	0	6
MAG208	1	4	15	5	5	0	2	29
MAG209	0	3	1	1	6	0	0	11
MAG210	0	1	2	2	1	0	2	29
MAG211	0	5	18	12	8	0	3	20
MAG212	0	2	12	12	7	0	3	22
MAG213	0	3	1	10	11	0	0	14
MAG214	0	1	5	1	3	0	0	10
MAG215	0	2	1	5	3	0	0	3
MAG216	0	2	3	2	1	0	1	8
MAG217	0	1	0	2	4	0	1	0
MAG218	0	8	3	8	15	0	0	19
MAG219	0	4	2	2	11	0	1	9
MAG220	0	4	11	1	0	0	2	14
MAG221	0	3	1	2	6	0	6	14
MAG222	1	5	12	7	13	0	3	42
MAG223	0	0	6	5	4	0	2	20
MAG224	0	4	8	11	5	0	2	16
MAG225	0	0	4	1	3	1	0	4
MAG226	0	7	0	4	5	0	1	11
MAG227	0	6	17	4	10	0	2	38
MAG228	0	1	3	3	1	0	2	6
MAG229	0	3	11	4	0	0	2	47
MAG230	0	7	3	3	7	0	0	9
MAG231	0	2	2	2	8	0	2	4
MAG232	0	4	14	5	3	0	1	51
MAG233	0	3	3	3	7	0	0	15
MAG234	0	5	10	8	6	0	1	42
MAG235	0	1	7	0	4	1	0	10
MAG236	0	18	7	7	12	0	0	17
MAG237	0	1	0	2	7	0	1	3
MAG238	0	2	3	4	2	0	1	11
MAG239	0	4	12	5	3	0	0	26
MAG240	0	2	1	2	5	0	1	27
MAG241	0	2	8	9	5	0	1	14
MAG242	0	6	30	13	13	0	6	21
MAG243	0	6	32	8	20	0	16	49
MAG244	0	2	3	8	11	0	2	30
MAG245	0	16	11	6	7	1	3	19
MAG246	0	3	0	1	5	0	0	2
MAG247	0	11	6	14	33	0	1	19
MAG248	0	3	4	2	4	0	3	12
MAG249	0	6	2	1	10	0	3	21
MAG250	0	5	2	1	7	0	1	5
MAG251	0	4	5	10	6	0	3	9
MAG252	0	7	2	15	21	0	1	18
MAG253	0	3	0	4	4	0	2	7
MAG254	0	6	4	26	13	0	0	14
MAG255	0	4	7	1	4	0	1	28
MAG256	0	6	10	4	3	0	0	26
MAG257	1	0	5	3	3	0	0	8
MAG258	0	4	4	14	8	0	0	6
MAG259	0	6	7	4	7	0	0	7
MAG260	0	4	1	1	7	0	0	2
MAG261	0	1	2	1	2	0	0	15
MAG262	0	4	1	8	11	1	1	23
MAG263	0	1	0	0	1	0	0	1
MAG264	0	6	13	8	9	0	6	38
MAG265	0	0	0	0	1	0	1	1
MAG266	0	0	1	1	7	0	0	19
MAG267	0	3	22	8	7	0	2	70
MAG268	0	3	3	6	11	0	0	13
MAG269	0	0	0	6	3	0	1	4
MAG270	0	1	5	2	4	0	0	13
MAG271	0	4	1	8	8	1	0	13
MAG272	0	2	3	4	2	0	1	21
MAG273	0	2	0	8	5	0	0	17
MAG274	0	2	0	1	10	0	1	2
MAG275	0	3	1	5	7	0	1	16
MAG276	0	1	0	2	5	0	0	5
MAG277	0	2	7	1	13	0	2	34
MAG278	0	2	0	3	0	1	0	1
MAG279	0	3	1	4	11	0	0	5
MAG280	0	1	0	14	6	1	0	3
MAG281	0	3	2	2	6	0	1	17
MAG282	0	5	5	5	4	0	5	15
MAG283	0	3	3	1	4	0	2	22
MAG284	0	0	1	2	1	0	0	5
MAG285	0	16	72	2	4	0	26	33
MAG286	0	6	14	5	13	1	5	17
MAG287	0	1	5	1	6	0	2	17
MAG288	0	4	5	9	15	0	0	23
MAG289	0	18	5	4	16	1	2	13
